,result,solving Time,deduction Time,backtracks,splits
661,SAT,6.652,5.6501,2,17
662,SAT,3.7056,3.2845,1,12
663,SAT,1.8935,1.7309,1,15
664,SAT,1.4449,1.3767,0,0
665,SAT,3.7394,3.2379,2,7
666,SAT,1.5122,1.4315,1,14
667,SAT,2.1033,1.9123,1,2
668,SAT,1.5304,1.4501,1,12
669,SAT,1.5665,1.4617,1,10
670,SAT,1.7708,1.6399,2,10
671,SAT,1.6158,1.5134,1,7
672,SAT,1.4848,1.4037,0,12
673,SAT,1.8227,1.662,1,12
674,SAT,1.5091,1.4235,1,11
675,SAT,3.3124,2.9361,1,19
676,SAT,2.8113,2.4526,2,37
677,SAT,1.4607,1.3868,0,0
678,SAT,4.4196,3.7791,3,26
679,SAT,1.4602,1.3798,1,7
680,SAT,2.2306,2.0148,1,3
681,SAT,1.469,1.4012,0,0
682,SAT,1.5054,1.4381,0,0
683,SAT,4.7373,4.0437,1,8
684,SAT,1.5467,1.4492,1,11
685,SAT,1.777,1.6149,1,19
686,SAT,13.7266,11.5972,2,20
687,SAT,4.5333,3.9404,2,17
688,SAT,1.5388,1.4328,1,6
689,SAT,10.4429,8.8759,2,12
690,SAT,2.2708,2.073,1,2
691,SAT,1.8229,1.6582,1,18
692,SAT,1.6777,1.5438,1,25
693,SAT,3.8641,3.3433,2,34
694,SAT,4.4022,3.8683,3,21
695,SAT,1.9046,1.704,2,40
696,SAT,4.1323,3.6178,2,13
697,SAT,2.2026,1.9167,1,32
698,SAT,1.4842,1.4159,0,0
699,SAT,1.5022,1.4203,1,12
700,SAT,1.91,1.7811,1,2
701,SAT,4.0087,3.4852,2,16
702,SAT,2.5826,2.3287,1,5
703,SAT,2.1596,1.9158,1,16
704,SAT,1.945,1.7829,2,22
705,SAT,1.6332,1.5205,1,12
706,SAT,11.1661,9.4066,2,11
707,SAT,1.4655,1.3978,0,0
708,SAT,2.4652,2.2192,2,17
709,SAT,1.8829,1.7416,1,5
710,SAT,1.4838,1.416,0,0
711,SAT,1.6481,1.5198,1,6
712,SAT,1.6129,1.5168,1,13
713,SAT,1.9571,1.7973,2,16
714,SAT,1.5199,1.4368,1,15
715,SAT,1.7104,1.5968,1,2
716,SAT,1.4854,1.4174,0,0
717,SAT,1.4832,1.4114,0,0
718,SAT,1.9226,1.779,2,10
719,SAT,1.5266,1.4391,0,0
720,SAT,1.6461,1.5251,1,20
721,SAT,4.0966,3.556,2,16
722,SAT,2.1073,1.8913,1,16
723,SAT,2.0278,1.8398,1,10
724,SAT,1.7551,1.6163,1,17
725,SAT,1.5893,1.4263,1,56
726,SAT,1.6041,1.4793,1,12
727,SAT,1.7615,1.6233,2,20
728,SAT,3.8568,3.3969,1,1
729,SAT,1.5367,1.4395,1,13
730,SAT,3.1017,2.7157,1,27
731,SAT,2.1403,1.927,1,12
732,SAT,1.8066,1.6626,1,10
733,SAT,1.9659,1.7701,1,16
734,SAT,4.2813,3.7048,2,9
735,SAT,1.482,1.4054,0,12
736,SAT,1.568,1.4771,1,7
737,SAT,1.4905,1.4083,1,5
738,SAT,3.5876,3.1182,2,11
739,SAT,2.4333,2.1644,1,16
740,SAT,1.8013,1.6691,1,15
741,SAT,1.9524,1.7663,1,6
742,SAT,1.4736,1.3987,0,0
743,SAT,1.735,1.591,1,22
744,SAT,1.9221,1.7606,1,8
745,SAT,1.6711,1.5442,2,11
746,SAT,5.3739,4.5554,2,17
747,SAT,1.9107,1.7439,1,15
