,result,solving Time,deduction Time,backtracks,splits
909,SAT,1.4844,1.4219,0,2
910,SAT,1.5156,1.4531,4,5
911,SAT,1.3594,1.2969,1,1
912,SAT,1.4531,1.375,11,24
913,SAT,1.75,1.6562,22,23
914,SAT,1.6406,1.5625,33,36
915,SAT,1.4219,1.3281,8,16
916,SAT,1.3438,1.2812,0,0
917,SAT,1.8906,1.8125,0,2
918,SAT,1.3594,1.2969,0,0
919,SAT,1.9531,1.8281,29,50
920,SAT,1.3906,1.3281,0,2
921,SAT,1.8906,1.7344,21,29
922,SAT,1.4688,1.4062,1,1
923,SAT,4.8281,4.4531,142,154
924,SAT,3.1875,2.9844,17,39
925,SAT,2.6875,2.6094,1,1
926,SAT,1.625,1.5312,0,4
927,SAT,1.4531,1.3906,0,4
928,SAT,1.6719,1.6094,1,3
929,SAT,1.5,1.4375,1,1
930,SAT,2.0938,2.0,28,31
931,SAT,1.6719,1.5781,29,32
932,SAT,1.4688,1.3906,24,26
933,SAT,1.4844,1.375,17,39
934,SAT,1.2344,1.1562,0,12
935,SAT,1.2344,1.1719,2,14
936,SAT,1.25,1.1875,4,4
937,SAT,1.3438,1.2969,0,0
938,SAT,1.2812,1.2031,2,4
939,SAT,1.2812,1.2188,1,2
940,SAT,1.3125,1.25,8,21
941,SAT,1.6562,1.5625,33,35
942,SAT,1.375,1.3125,0,0
943,SAT,1.9219,1.7969,45,47
944,SAT,1.4375,1.3438,17,36
945,SAT,1.3125,1.2656,0,0
946,SAT,1.2969,1.2344,0,2
947,SAT,1.4375,1.3906,0,1
948,SAT,2.2656,2.1719,57,64
949,SAT,1.7031,1.625,0,0
950,SAT,1.5156,1.4531,1,3
951,SAT,1.4219,1.3594,0,2
952,SAT,2.4844,2.4062,38,44
953,SAT,1.2969,1.25,0,1
954,SAT,1.2812,1.2344,0,3
955,SAT,1.4531,1.3906,0,3
956,SAT,1.4375,1.375,4,4
957,SAT,1.5312,1.4531,0,2
958,SAT,1.5625,1.4531,18,24
959,SAT,1.25,1.2031,0,2
960,SAT,2.0,1.8594,22,36
961,SAT,1.4531,1.3594,2,2
962,SAT,1.3594,1.2969,1,2
963,SAT,1.7188,1.5938,38,63
964,SAT,1.5,1.4375,1,4
965,SAT,1.7969,1.6719,37,38
966,SAT,2.2344,2.1094,57,64
967,SAT,1.2344,1.1875,0,1
968,SAT,1.3438,1.2969,10,13
969,SAT,2.1406,2.0312,30,32
970,SAT,1.4219,1.375,6,7
